"id","nameEn","nameRu","nameHy","descriptionEn","descriptionRu","descriptionHy","createdAt","updatedAt"
"300","Brake Disc Replacement","Замена тормозного диска","Ազդանշանի սկավառակների փոխարինում","Replace brake discs","Замена тормозного диска","Ազդանշանի սկավառակների փոխարինում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"301","Engine Tune-up","Техническое обслуживание двигателя","Շարժիչի տեխնիկական սպասարկում","Tune engine for performance","Техническое обслуживание двигателя","Շարժիչի տեխնիկական սպասարկում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"302","Clutch Replacement","Замена сцепления","Կլուչի փոխարինում","Replace clutch","Замена сцепления","Կլուչի փոխարինում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"303","Car Diagnostics","Компьютерная диагностика","Ավտոմեքենայի ախտորոշում","Full car diagnostics","Компьютерная диагностика","Ավտոմեքենայի ախտորոշում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"304","Car Polishing","Полировка автомобиля","Մեքենայի փայլեցում","Polish car exterior","Полировка автомобиля","Մեքենայի փայլեցում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"305","Interior Vacuuming","Пылесос салона","Ներքին վակուում","Vacuum car interior","Пылесос салона","Ներքին վակուում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"306","Leather Cleaning","Чистка кожи","Կաշվի մաքրում","Clean leather seats","Чистка кожи","Կաշվի մաքրում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"307","Window Tinting","Тонировка стекол","Ապակու մուգացում","Tint car windows","Тонировка стекол","Ապակու մուգացում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"308","Paint Protection Film","Защитная пленка для краски","Ներկի պաշտպանիչ ֆիլմ","Apply paint protection film","Защитная пленка для краски","Ներկի պաշտպանիչ ֆիլմ","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"309","ECU Tuning","Настройка ЭБУ","ECU-ի կարգավորում","Engine control unit tuning","Настройка ЭБУ","Շարժիչի կառավարման միավորի կարգավորում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"310","Turbo Upgrade","Установка турбины","Տուրբո բարձրացում","Upgrade turbocharger","Установка турбины","Տուրբո բարձրացում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"311","Car Audio Installation","Установка аудиосистемы","Աուդիո համակարգի տեղադրում","Install car audio system","Установка аудиосистемы","Աուդիո համակարգի տեղադրում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"312","LED Light Upgrade","Улучшение светодиодов","LED լույսերի բարելավում","Upgrade LED lights","Улучшение светодиодов","LED լույսերի բարելավում","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"313","Vinyl Wrap","Виниловая пленка","Վինիլային ծածկույթ","Apply vinyl wrap","Виниловая пленка","Վինիլային ծածկույթ","2026-01-29 14:54:56.824","2026-01-29 14:54:56.824"
"314","աաա","աաա","աաա",,,,"2026-02-09 11:15:34.381","2026-02-09 11:15:34.381"
